code insee,ville,inscrits,abstentions,exprimes,LDVG,LFN,LUD
54244,Hagéville,98,36,58,12,29,17
54245,Haigneville,28,1,27,1,7,19
54246,Halloville,61,12,46,7,19,20
54247,Hammeville,146,30,111,15,40,56
54248,Hamonville,80,20,55,9,30,16
54249,Hannonville-Suzémont,206,95,107,12,53,42
54250,Haraucourt,543,164,366,66,164,136
54251,Harbouey,100,32,64,6,28,30
54252,Haroué,263,80,174,32,69,73
54253,Hatrize,525,203,313,70,109,134
54254,Haucourt-Moulaine,2073,1056,983,335,301,347
54255,Haudonville,76,18,54,7,19,28
54256,Haussonville,232,75,147,35,49,63
54257,Heillecourt,4619,1533,2989,540,804,1645
54258,Hénaménil,130,40,86,18,36,32
54259,Herbéviller,188,46,136,17,58,61
54260,Hériménil,705,223,459,90,192,177
54261,Herserange,2461,1414,995,272,302,421
54262,Hoéville,132,31,96,16,35,45
54263,Homécourt,4143,2128,1904,622,635,647
54264,Houdelmont,182,48,129,18,49,62
54265,Houdemont,2051,751,1252,237,298,717
54266,Houdreville,331,125,191,37,87,67
54268,Housséville,134,33,98,19,24,55
54269,Hudiviller,306,86,210,36,92,82
54270,Hussigny-Godbrange,2439,1103,1261,443,359,459
54271,Igney,110,43,62,8,23,31
54272,Jaillon,315,116,192,21,98,73
54273,Jarny,6616,3356,3098,943,1023,1132
54274,Jarville-la-Malgrange,5507,2357,3055,658,948,1449
54275,Jaulny,181,55,122,12,54,56
54276,Jeandelaincourt,530,193,324,63,155,106
54277,Jeandelize,349,166,174,35,63,76
54278,Jevoncourt,65,25,39,9,14,16
54279,Jezainville,705,246,436,78,207,151
54280,Joeuf,4357,2294,1968,583,727,658
54281,Jolivet,714,213,478,75,197,206
54282,Joppécourt,105,53,51,3,34,14
54283,Jouaville,258,101,151,52,59,40
54284,Joudreville,764,357,377,142,155,80
54285,Juvrecourt,45,9,33,5,12,16
54286,Labry,1230,513,686,217,238,231
54287,Lachapelle,215,79,130,24,71,35
54288,Lagney,383,112,257,40,118,99
54289,Laître-sous-Amance,324,106,211,32,66,113
54290,Laix,165,61,99,37,32,30
54291,Laloeuf,220,65,146,22,62,62
54292,Lamath,168,52,113,16,52,45
54293,Landécourt,80,22,57,13,26,18
54294,Landremont,112,25,81,12,37,32
54295,Landres,701,313,372,99,150,123
54296,Laneuvelotte,353,109,234,38,91,105
54297,Laneuveville-aux-Bois,253,90,151,29,73,49
54298,Laneuveville-derrière-Foug,118,34,83,15,34,34
54299,Laneuveville-devant-Bayon,151,40,109,33,27,49
54300,Laneuveville-devant-Nancy,4485,1775,2615,473,922,1220
54301,Lanfroicourt,111,26,83,15,18,50
54302,Lantéfontaine,611,239,365,84,154,127
54303,Laronxe,320,118,196,41,91,64
54304,Laxou,8446,3121,5141,1021,1095,3025
54305,Lay-Saint-Christophe,2088,803,1235,232,297,706
54306,Lay-Saint-Remy,265,77,177,34,73,70
54307,Lebeuville,137,34,96,16,43,37
54308,Leintrey,135,43,88,21,36,31
